_id,name,type,body,status,createdAt,updatedAt
653628196f430df4b33f1b1d,Web Master ,Head,"<meta name=""google-site-verification"" content=""waqW6VuV5PuFqy7WxunLx6txHcAe40Ua6ZdrqVe7mIs"" />",Active,2023-08-14T17:54:22.951Z,2023-09-19T15:22:16.068Z
653628196f430df4b33f1b1e,Adsense 1,BL Under Title,"<script async src=""https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js?client=ca-pub-6224316374690342""\n     crossorigin=""anonymous""></script>\n<!-- Square Adv -->\n<ins class=""adsbygoogle""\n     style=""display:block""\n     data-ad-client=""ca-pub-6224316374690342""\n     data-ad-slot=""5917453518""\n     data-ad-format=""auto""\n     data-full-width-responsive=""true""></ins>\n<script>\n     (adsbygoogle = window.adsbygoogle || []).push({});\n</script>",Active,2023-09-22T06:56:17.457Z,2023-09-22T06:56:17.457Z
653628196f430df4b33f1b1f,Adsense 2,BL Between Tile,"<script async src=""https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js?client=ca-pub-6224316374690342""\n     crossorigin=""anonymous""></script>\n<!-- Square Adv -->\n<ins class=""adsbygoogle""\n     style=""display:block""\n     data-ad-client=""ca-pub-6224316374690342""\n     data-ad-slot=""5917453518""\n     data-ad-format=""auto""\n     data-full-width-responsive=""true""></ins>\n<script>\n     (adsbygoogle = window.adsbygoogle || []).push({});\n</script>",Active,2023-09-22T06:56:17.457Z,2023-09-22T06:56:17.457Z
653628196f430df4b33f1b20,Adsense 3,BL Right Sidebar ,"<script async src=""https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js?client=ca-pub-6224316374690342""\n     crossorigin=""anonymous""></script>\n<!-- Square Adv -->\n<ins class=""adsbygoogle""\n     style=""display:block""\n     data-ad-client=""ca-pub-6224316374690342""\n     data-ad-slot=""5917453518""\n     data-ad-format=""auto""\n     data-full-width-responsive=""true""></ins>\n<script>\n     (adsbygoogle = window.adsbygoogle || []).push({});\n</script>",Active,2023-09-22T06:56:17.457Z,2023-09-22T06:56:17.457Z
653628196f430df4b33f1b21,Adsense 4,SP After the Detail Box,"<script async src=""https://pagead2.googlesyndication.com/pagead/js/adsbygoogle.js?client=ca-pub-6224316374690342""\n     crossorigin=""anonymous""></script>\n<!-- Square Adv -->\n<ins class=""adsbygoogle""\n     style=""display:block""\n     data-ad-client=""ca-pub-6224316374690342""\n     data-ad-slot=""5917453518""\n     data-ad-format=""auto""\n     data-full-width-responsive=""true""></ins>\n<script>\n     (adsbygoogle = window.adsbygoogle || []).push({});\n</script>",Active,2023-09-22T06:56:17.457Z,2023-09-22T06:56:17.457Z
