_id,name,slug,state,city,status,createdAt,updatedAt
653627f86f430df4b33f1a3c,Manesar Sector M1,manesar-sector-m1,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a3d,Manesar Sector M10,manesar-sector-m10,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a3e,Manesar Sector M11,manesar-sector-m11,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a3f,Manesar Sector M12,manesar-sector-m12,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a40,Manesar Sector M13,manesar-sector-m13,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a41,Manesar Sector M14,manesar-sector-m14,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a42,Manesar Sector M15,manesar-sector-m15,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a43,Manesar Sector M16,manesar-sector-m16,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a44,Manesar Sector M1A,manesar-sector-m1a,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a45,Manesar Sector M1B,manesar-sector-m1b,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a46,Manesar Sector M1C,manesar-sector-m1c,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a47,Manesar Sector M1D,manesar-sector-m1d,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a48,Manesar Sector M2,manesar-sector-m2,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a49,Manesar Sector M3,manesar-sector-m3,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a4a,Manesar Sector M3A,manesar-sector-m3a,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a4b,Manesar Sector M4,manesar-sector-m4,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a4c,Manesar Sector M5,manesar-sector-m5,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a4d,Manesar Sector M6,manesar-sector-m6,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a4e,Manesar Sector M6A,manesar-sector-m6a,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a4f,Manesar Sector M7,manesar-sector-m7,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a50,Manesar Sector M8,manesar-sector-m8,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a51,Manesar Sector M9,manesar-sector-m9,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a52,Manesar Village,manesar-village,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a53,Mankrola,mankrola,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a54,Maruti Kunj,maruti-kunj,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a55,May Field Gardens,may-field-gardens,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a56,Model Town,model-town,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a57,Mohyal Colony,mohyal-colony,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a58,Nathupur,nathupur,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a59,New Basti,new-basti,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a5a,New Colony,new-colony,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a5b,New Palam Vihar,new-palam-vihar,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a5c,Pace City,pace-city,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a5d,Palam Vihar,palam-vihar,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a5e,Palam Vihar Extn,palam-vihar-extn,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a5f,Pataudi Sector 1,pataudi-sector-1,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a60,Pataudi Sector 2,pataudi-sector-2,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a61,Pataudi Sector 3,pataudi-sector-3,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a62,Pataudi Sector 4,pataudi-sector-4,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a63,Pataudi Sector 5,pataudi-sector-5,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a64,Pataudi Sector 6,pataudi-sector-6,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a65,Patel Nagar,patel-nagar,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a66,Rajendra Park,rajendra-park,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a67,Rajiv Nagar,rajiv-nagar,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a68,Ram Nagar,ram-nagar,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a69,Ratan Vihar,ratan-vihar,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a6a,Ravi Nagar,ravi-nagar,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a6b,Rosewood City,rosewood-city,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a6c,Sadar Bazaar,sadar-bazaar,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a6d,Saraswati Kunj,saraswati-kunj,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a6e,Saraswati Vihar,saraswati-vihar,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a6f,Sarhaul,sarhaul,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a70,Sector 1,sector-1,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a71,Sector 10,sector-10,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a72,Sector 100,sector-100,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a73,Sector 101,sector-101,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a74,Sector 102,sector-102,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a75,Sector 102A,sector-102a,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a76,Sector 103,sector-103,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a77,Sector 104,sector-104,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a78,Sector 105,sector-105,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a79,Sector 106,sector-106,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a7a,Sector 107,sector-107,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a7b,Sector 108,sector-108,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a7c,Sector 109,sector-109,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a7d,Sector 10A,sector-10a,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a7e,Sector 11,sector-11,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a7f,Sector 110,sector-110,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a80,Sector 110A,sector-110a,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a81,Sector 111,sector-111,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a82,Sector 112,sector-112,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a83,Sector 113,sector-113,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a84,Sector 114,sector-114,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a85,Sector 115,sector-115,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a86,Sector 11A,sector-11a,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a87,Sector 12,sector-12,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a88,Sector 12A,sector-12a,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a89,Sector 13,sector-13,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a8a,Sector 14,sector-14,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a8b,Sector 15 Part I,sector-15-part-i,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a8c,Sector 15 Part II,sector-15-part-ii,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a8d,Sector 16,sector-16,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a8e,Sector 17,sector-17,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a8f,Sector 18,sector-18,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a90,Sector 19,sector-19,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a91,Sector 2,sector-2,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a92,Sector 20,sector-20,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a93,Sector 21,sector-21,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a94,Sector 22,sector-22,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a95,Sector 23,sector-23,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a96,Sector 23A,sector-23a,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a97,Sector 24,sector-24,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a98,Sector 25,sector-25,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a99,Sector 25A,sector-25a,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a9a,Sector 26,sector-26,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a9b,Sector 27,sector-27,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a9c,Sector 28,sector-28,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a9d,Sector 29,sector-29,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a9e,Sector 3,sector-3,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1a9f,Sector 30,sector-30,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1aa0,Sector 31,sector-31,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1aa1,Sector 32,sector-32,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1aa2,Sector 33,sector-33,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1aa3,Sector 34,sector-34,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1aa4,Sector 35,sector-35,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1aa5,Sector 36,sector-36,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1aa6,Sector 37 Part I Industrial,sector-37-part-i-industrial,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1aa7,Sector 37 Part II Industrial,sector-37-part-ii-industrial,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1aa8,Sector 37C,sector-37c,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1aa9,Sector 37D,sector-37d,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1aaa,Sector 38,sector-38,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1aab,Sector 39,sector-39,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1aac,Sector 3A,sector-3a,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1aad,Sector 4,sector-4,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1aae,Sector 40,sector-40,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1aaf,Sector 41,sector-41,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1ab0,Sector 42,sector-42,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1ab1,Sector 43,sector-43,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1ab2,Sector 44,sector-44,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1ab3,Sector 45,sector-45,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1ab4,Sector 46,sector-46,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1ab5,Sector 47,sector-47,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1ab6,Sector 48,sector-48,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1ab7,Sector 49,sector-49,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1ab8,Sector 5,sector-5,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1ab9,Sector 50,sector-50,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1aba,Sector 51,sector-51,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1abb,Sector 52,sector-52,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1abc,Sector 52A,sector-52a,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1abd,Sector 53,sector-53,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1abe,Sector 54,sector-54,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1abf,Sector 55,sector-55,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1ac0,Sector 56,sector-56,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1ac1,Sector 57,sector-57,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1ac2,Sector 58,sector-58,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1ac3,Sector 59,sector-59,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1ac4,Sector 6,sector-6,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1ac5,Sector 60,sector-60,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627f86f430df4b33f1ac6,Sector 61,sector-61,Haryana,Gurugram,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
