_id,subcategory,subcategory_slug,name,slug,status,createdAt,updatedAt
653627ea6f430df4b33f19d1,Hotel,hotel,2 Star Hotel,2-star-hotel,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627ea6f430df4b33f19d2,Hotel,hotel,3 Star Hotel,3-star-hotel,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627ea6f430df4b33f19d3,Hotel,hotel,5 Star Hotel,5-star-hotel,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627ea6f430df4b33f19d4,Hotel,hotel,7 Star Hotel,7-star-hotel,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627ea6f430df4b33f19d5,Hotel,hotel,Luxury Hotel,luxury-hotel,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627ea6f430df4b33f19d6,Hotel,hotel,Expensive Hotel,expensive-hotel,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627ea6f430df4b33f19d7,Hotel,hotel,Business Hotels,business-hotels,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627ea6f430df4b33f19d8,Hotel,hotel,Luxury Business Hotels,luxury-business-hotels,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627ea6f430df4b33f19d9,Hotel,hotel,Luxury Club Hotel,luxury-club-hotel,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627ea6f430df4b33f19da,Hotel,hotel,Cheap Luxury Business Hotels,cheap-luxury-business-hotels,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627ea6f430df4b33f19db,Hotel,hotel,Conference Hotels,conference-hotels,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627ea6f430df4b33f19dc,Hotel,hotel,Conference Hall,conference-hall,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627ea6f430df4b33f19dd,Hotel,hotel,Castle Hotel,castle-hotel,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627ea6f430df4b33f19de,Hotel,hotel,Heritage Hotels,heritage-hotels,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627ea6f430df4b33f19df,Hotel,hotel,Heritage Resort,heritage-resort,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627ea6f430df4b33f19e0,Hotel,hotel,Hotels With Nightclubs,hotels-with-nightclubs,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627ea6f430df4b33f19e1,Hotel,hotel,Hotels With Bar,hotels-with-bar,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627ea6f430df4b33f19e2,Hotel,hotel,Hotel Bars,hotel-bars,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
653627ea6f430df4b33f19e3,Hotel,hotel,Beach Hotels,beach-hotels,Active,2023-08-14T17:54:22.951Z,2023-08-14T17:54:22.951Z
